West Harrow ,53, , , , , , , , , , ,157.5,157.5, , , , , , , , 
West Kensington ,5, , , , ,99.4,99.3, , , , , , , , , , , , , , 
West Ruislip ,51, , ,145.1,145.1, , , , , , , , , , , , , , , , 
Westbourne Park ,28, , , ,, , ,122.5,122.5, , , , , , , , , , , , 
Westminster ,6, , , , ,99.0,99.0, , ,84.0,74.6, , , , , , , , , , 
White City ,7, , ,105.0,105.0, , , , , , , , , , , , , , , , 
Whitechapel ,12, , , , ,109.1,109.1, , , , , , , , , , , , , , 
Willesden Green ,56, , , , , , , , ,150.3,150.3, , , , , , , , , , 
Willesden Junction ,40, , , , , , , , , , , , , , ,134.5,134.5, , , , 
Wimbledon ,23, , , , ,119.3,119.3, , , , , , , , , , , , , , 
Wimbledon Park ,23, , , , ,118.4,118.4, , , , , , , , , , , , , , 
Wood Green ,25, , , , , , , , , , , , , , ,113.6,113.6, , , , 
Wood Lane,6.7,,,,,,,113.1,113.1,,,,,,,,,,,,
Woodford ,32, , ,131.1,131.1, , , , , , , , , , , , , , , , 
Woodside Park ,76, , , , , , , , , , , , ,174.3,174.3, , , , , , 
